Agos|Sbay|Smik	707	124	239
Agos|Clus|Sbay	1015	38	17
Agos|Cgui|Sbay	1016	37	17
Agos|Dhan|Sbay	1015	38	17
Agos|Psti|Sbay	1016	37	17
Agos|Cpar|Sbay	1016	37	17
Agos|Lelo|Sbay	1016	37	17
Agos|Ctro|Sbay	1016	37	17
Agos|Calb|Sbay	1016	37	17
Agos|Cdub|Sbay	1016	37	17
Agos|Skud|Spar	835	59	176
Agos|Scer|Skud	141	847	82
Agos|Skud|Smik	630	163	277
Agos|Clus|Skud	1015	38	17
Agos|Cgui|Skud	1016	37	17
Agos|Dhan|Skud	1015	38	17
Agos|Psti|Skud	1016	37	17
Agos|Cpar|Skud	1016	37	17
Agos|Lelo|Skud	1016	37	17
Agos|Ctro|Skud	1016	37	17
Agos|Calb|Skud	1016	37	17
Agos|Cdub|Skud	1016	37	17
Agos|Scer|Spar	881	97	92
Agos|Smik|Spar	794	73	203
Agos|Clus|Spar	1016	38	16
Agos|Cgui|Spar	1017	37	16
Agos|Dhan|Spar	1016	38	16
Agos|Psti|Spar	1017	37	16
Agos|Cpar|Spar	1017	37	16
Agos|Lelo|Spar	1017	37	16
Agos|Ctro|Spar	1017	37	16
Agos|Calb|Spar	1017	37	16
Agos|Cdub|Spar	1017	37	16
Agos|Scer|Smik	191	794	85
Agos|Clus|Scer	1018	39	13
Agos|Cgui|Scer	1019	38	13
Agos|Dhan|Scer	1018	39	13
Agos|Psti|Scer	1019	38	13
Agos|Cpar|Scer	1019	38	13
Agos|Lelo|Scer	1019	38	13
Agos|Ctro|Scer	1019	38	13
Agos|Calb|Scer	1019	38	13
Agos|Cdub|Scer	1019	38	13
Agos|Clus|Smik	1014	38	18
Agos|Cgui|Smik	1015	37	18
Agos|Dhan|Smik	1014	38	18
Agos|Psti|Smik	1015	37	18
Agos|Cpar|Smik	1015	37	18
Agos|Lelo|Smik	1015	37	18
Agos|Ctro|Smik	1015	37	18
Agos|Calb|Smik	1015	37	18
Agos|Cdub|Smik	1015	37	18
Agos|Cgui|Clus	15	8	1047
Agos|Clus|Dhan	19	8	1043
Agos|Clus|Psti	20	7	1043
Agos|Clus|Cpar	24	10	1036
Agos|Clus|Lelo	23	10	1037
Agos|Clus|Ctro	24	9	1037
Agos|Calb|Clus	10	23	1037
Agos|Cdub|Clus	10	23	1037
Agos|Cgui|Dhan	15	4	1051
Agos|Cgui|Psti	23	5	1042
Agos|Cgui|Cpar	26	8	1036
Agos|Cgui|Lelo	25	8	1037
Agos|Cgui|Ctro	25	8	1037
Agos|Calb|Cgui	9	24	1037
Agos|Cdub|Cgui	9	24	1037
Agos|Dhan|Psti	18	6	1046
Agos|Cpar|Dhan	13	19	1038
Agos|Dhan|Lelo	20	11	1039
Agos|Ctro|Dhan	12	19	1039
Agos|Calb|Dhan	12	19	1039
Agos|Cdub|Dhan	12	19	1039
Agos|Cpar|Psti	13	18	1039
Agos|Lelo|Psti	12	18	1040
Agos|Ctro|Psti	12	18	1040
Agos|Calb|Psti	12	18	1040
Agos|Cdub|Psti	12	18	1040
Agos|Cpar|Lelo	13	1	1056
Agos|Cpar|Ctro	9	12	1049
Agos|Calb|Cpar	13	8	1049
Agos|Cdub|Cpar	14	8	1048
Agos|Ctro|Lelo	12	8	1050
Agos|Calb|Lelo	12	8	1050
Agos|Cdub|Lelo	13	8	1049
Agos|Calb|Ctro	7	2	1061
Agos|Cdub|Ctro	8	2	1060
Agos|Calb|Cdub	3	0	1067
Klac|Kwal|Sklu	203	236	631
Klac|Kthe|Sklu	202	237	631
Klac|Sklu|Zrou	940	63	67
Klac|Kpol|Sklu	59	964	47
Cgla|Klac|Sklu	64	40	966
Klac|Scas|Sklu	48	989	33
Klac|Sbay|Sklu	21	1032	17
Klac|Sklu|Skud	1035	18	17
Klac|Sklu|Spar	1035	17	18
Klac|Scer|Sklu	20	1034	16
Klac|Sklu|Smik	1035	18	17
Clus|Klac|Sklu	377	175	518
Cgui|Klac|Sklu	377	175	518
Dhan|Klac|Sklu	377	175	518
Klac|Psti|Sklu	377	518	175
Cpar|Klac|Sklu	377	175	518
Klac|Lelo|Sklu	377	518	175
Ctro|Klac|Sklu	377	175	518
Calb|Klac|Sklu	377	175	518
Cdub|Klac|Sklu	377	175	518
Klac|Kthe|Kwal	12	5	1053
Klac|Kwal|Zrou	940	66	64
Klac|Kpol|Kwal	67	960	43
Cgla|Klac|Kwal	69	43	958
Klac|Kwal|Scas	991	52	27
Klac|Kwal|Sbay	1036	24	10
Klac|Kwal|Skud	1035	24	11
Klac|Kwal|Spar	1036	24	10
Klac|Kwal|Scer	1037	23	10
Klac|Kwal|Smik	1035	25	10
Clus|Klac|Kwal	373	219	478
Cgui|Klac|Kwal	373	219	478
Dhan|Klac|Kwal	373	219	478
Klac|Kwal|Psti	479	372	219
Cpar|Klac|Kwal	373	219	478
Klac|Kwal|Lelo	479	372	219
Ctro|Klac|Kwal	373	219	478
Calb|Klac|Kwal	373	219	478
Cdub|Klac|Kwal	373	219	478
Klac|Kthe|Zrou	941	66	63
Klac|Kpol|Kthe	67	959	44
Cgla|Klac|Kthe	68	44	958
Klac|Kthe|Scas	990	51	29
Klac|Kthe|Sbay	1036	24	10
Klac|Kthe|Skud	1035	24	11
Klac|Kthe|Spar	1036	24	10
Klac|Kthe|Scer	1037	23	10
Klac|Kthe|Smik	1035	25	10
Clus|Klac|Kthe	372	220	478
Cgui|Klac|Kthe	372	220	478
Dhan|Klac|Kthe	372	220	478
Klac|Kthe|Psti	479	371	220
Cpar|Klac|Kthe	372	220	478
Klac|Kthe|Lelo	479	371	220
Ctro|Klac|Kthe	372	220	478
Calb|Klac|Kthe	372	220	478
Cdub|Klac|Kthe	372	220	478
Klac|Kpol|Zrou	313	430	327
Cgla|Klac|Zrou	250	218	602
