Agos|Clus|Scer	0	1028	0
Clus|Kwal|Lelo	0	965	63
Klac|Scer|Zrou	157	160	711
Lelo|Scer|Spar	0	0	1028
Agos|Scer|Skud	0	0	1028
Calb|Cgui|Skud	695	0	333
Klac|Kthe|Spar	443	286	299
Calb|Ctro|Sbay	1019	0	9
Calb|Kthe|Smik	0	0	1028
Lelo|Sbay|Spar	0	0	1028
Klac|Sbay|Skud	0	1	1027
Kpol|Skud|Smik	1	1	1026
Cgla|Skud|Smik	2	2	1024
Kpol|Kthe|Zrou	170	702	156
Agos|Sklu|Zrou	479	270	279
Calb|Psti|Zrou	779	0	249
Sklu|Skud|Zrou	152	169	707
Lelo|Smik|Zrou	0	0	1028
Cdub|Psti|Scer	779	0	249
Cgui|Kpol|Zrou	0	0	1028
Cgui|Cpar|Scas	685	308	35
Cgla|Kpol|Scer	273	497	258
Lelo|Psti|Skud	780	32	216
Cgla|Clus|Sklu	0	1027	1
Kthe|Psti|Skud	1	1025	2
Clus|Ctro|Sklu	1018	1	9
Clus|Klac|Lelo	0	964	64
Psti|Spar|Zrou	1	1	1026
Cdub|Cpar|Lelo	96	76	856
Cdub|Klac|Sklu	1	1	1026
Clus|Dhan|Scer	682	0	346
Kpol|Psti|Spar	0	1027	1
Dhan|Lelo|Sklu	668	320	40
Cgla|Cgui|Kwal	0	1028	0
Dhan|Klac|Kwal	1	0	1027
Cpar|Lelo|Sbay	1012	10	6
Cdub|Sbay|Smik	0	0	1028
Cpar|Sbay|Sklu	0	1	1027
Cdub|Scer|Sklu	0	1	1027
Agos|Dhan|Sklu	0	1027	1
Calb|Clus|Sbay	1028	0	0
Cpar|Lelo|Smik	1012	10	6
Kwal|Smik|Zrou	161	169	698
Agos|Calb|Lelo	0	63	965
Calb|Cpar|Zrou	961	0	67
Cdub|Cgui|Spar	695	0	333
Clus|Cpar|Ctro	41	66	921
Kwal|Sbay|Smik	0	0	1028
Cdub|Skud|Spar	0	0	1028
Dhan|Kthe|Skud	0	0	1028
Calb|Kwal|Smik	0	0	1028
Lelo|Sklu|Spar	1	0	1027
Calb|Klac|Sklu	1	1	1026
Cpar|Dhan|Spar	666	42	320
Calb|Clus|Smik	1028	0	0
Clus|Dhan|Sbay	682	0	346
Cgla|Clus|Klac	0	1027	1
Agos|Kpol|Spar	138	150	740
Lelo|Scas|Sklu	0	1	1027
Calb|Cpar|Ctro	54	915	59
Kpol|Sbay|Smik	2	2	1024
Kthe|Psti|Spar	1	1025	2
Calb|Cgui|Sbay	695	0	333
Calb|Clus|Ctro	9	1008	11
Cdub|Sklu|Smik	1	0	1027
Calb|Kthe|Spar	0	0	1028
Agos|Psti|Scas	0	1027	1
Calb|Skud|Smik	0	0	1028
Clus|Klac|Scas	1	0	1027
Clus|Kpol|Sklu	0	1	1027
Kpol|Scas|Smik	247	222	559
Cgui|Clus|Psti	376	374	278
Cgla|Scer|Zrou	518	272	238
Ctro|Kpol|Sbay	0	0	1028
Clus|Dhan|Kwal	682	0	346
Ctro|Kpol|Zrou	0	0	1028
Klac|Kwal|Lelo	1027	1	0
Cdub|Klac|Scas	1	0	1027
Calb|Cgui|Kwal	695	0	333
Cpar|Psti|Spar	775	36	217
Cpar|Ctro|Smik	964	61	3
Cdub|Klac|Psti	0	779	249
Cgui|Scer|Skud	0	0	1028
Clus|Sbay|Skud	0	0	1028
Cpar|Psti|Sklu	775	36	217
Scer|Skud|Smik	208	597	223
Cgui|Clus|Sklu	694	333	1
Clus|Klac|Kthe	1	0	1027
Dhan|Sklu|Zrou	1	0	1027
Cdub|Scas|Spar	0	0	1028
Agos|Clus|Smik	0	1028	0
Cgui|Ctro|Dhan	240	561	227
Skud|Spar|Zrou	1023	4	1
Calb|Kpol|Kthe	0	0	1028
Kthe|Sklu|Skud	630	203	195
Cgla|Kpol|Spar	273	497	258
Calb|Cdub|Spar	1028	0	0
Cgui|Sbay|Sklu	0	1	1027
Calb|Klac|Psti	0	779	249
Cdub|Cgla|Clus	0	1028	0
Klac|Scas|Skud	92	105	831
Agos|Ctro|Skud	0	1028	0
Cgla|Cpar|Sbay	0	1028	0
Cdub|Ctro|Zrou	1019	0	9
Calb|Cdub|Ctro	1001	14	13
Cpar|Kpol|Kthe	1	0	1027
Cgui|Kthe|Scas	0	0	1028
Cdub|Ctro|Spar	1019	0	9
Kthe|Lelo|Sklu	0	1026	2
Cgui|Skud|Spar	0	0	1028
Dhan|Lelo|Sbay	668	320	40
Calb|Ctro|Kwal	1019	0	9
Cdub|Cgla|Smik	0	0	1028
Agos|Ctro|Smik	0	1028	0
Dhan|Sklu|Smik	1	0	1027
Klac|Kthe|Skud	443	286	299
Dhan|Kpol|Sklu	1	1	1026
Calb|Clus|Psti	249	530	249
Agos|Clus|Kpol	0	1028	0
Klac|Kpol|Spar	142	151	735
Calb|Sklu|Spar	1	0	1027
Klac|Skud|Zrou	157	160	711
